회사명,업종,주요제품,이미 본 기업 o 표시,19년도 이후 상장,시총 1000억,단가 공시 여부 ,수주 기업 여부,
빛샘전자,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체",,,,,,
SBW생명과학,전자부품 제조업,"Blue Filter, IR Filter, Camera Module",,,,,,
아바텍,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터",,,,,,
와이엠씨,전자부품 제조업,"FPD 패널용 Target, Backing Plate 등",,,,,,
솔루에타,전자부품 제조업,전자파 차폐소재,,,,,,
트루윈,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)",,,,,,
파버나인,전자부품 제조업,"알루미늄 소재 TV 외관재(프레임, 스탠드)",,,,,,
바이오로그디바이스,전자부품 제조업,모바일용 카메라모듈 부품외,,,,,,
오킨스전자,전자부품 제조업,반도체 검사용 소켓,,,,,,
와이제이엠게임즈,전자부품 제조업,휴대폰용 진동모터,,,,,,
덕산네오룩스,전자부품 제조업,"HTL(정공수송층), HIL(정공주입층), RED HOST",,,,,,
픽셀플러스,전자부품 제조업,CMOS 이미지센서 및 칩셋,,,,,,
아이쓰리시스템,전자부품 제조업,"적외선 영상센서, 엑스레이 영상센서",,,,,,
심텍,전자부품 제조업,반도체용 인쇄회로기판,,,,,,
타이거일렉,전자부품 제조업,인쇄회로기판 제조업,,,,,,
나무가,전자부품 제조업,"스마트폰 카메라모듈, 노트북 카메라모듈",,,,,,
에이치엔에스하이텍,전자부품 제조업,"이방성전도필름, 수정진동자",,,,,,
육일씨엔에쓰,전자부품 제조업,IT용 Cover Glass,,,,,,
알엔투테크놀로지,전자부품 제조업,"이동통신부품(커플러), 의료기기용기판, 파우더",,,,,,
해성디에스,전자부품 제조업,반도체 패키지용 Substrate,,,,,,
아이윈플러스,전자부품 제조업,이미지센서 패키징,,,,,,
블루탑,전자부품 제조업,,,,,,,
