Company Name,Sales,Operating Income,Net Income,Operating CF,,단위: 억 원
,"1,156 ",62 ,-154 ,128 ,<-,20년
,"1,736 ",298 ,277 ,360 ,<-,21년
,"2,642 ",554 ,452 ,241 ,<-,22년
콜마비앤에이치,"3,864 ",585 ,493 ,220 ,<-,18년
,"4,389 ",741 ,548 ,782 ,<-,19년
,"6,069 ","1,092 ",801 ,771 ,<-,20년
,"5,931 ",916 ,684 ,719 ,<-,21년
,"5,759 ",611 ,404 ,53 ,<-,22년
성우하이텍,"34,569 ",754 ,185 ,"2,709 ",<-,18년
,"33,895 ",734 ,295 ,"3,827 ",<-,19년
,"29,703 ",53 ,-629 ,"3,283 ",<-,20년
,"33,486 ",764 ,390 ,"2,541 ",<-,21년
,"39,770 ",992 ,385 ,"2,000 ",<-,22년
서진시스템,"3,246 ",369 ,323 ,705 ,<-,18년
,"3,924 ",544 ,490 ,-185 ,<-,19년
,"3,219 ",49 ,-58 ,-361 ,<-,20년
,"6,061 ",580 ,386 ,-53 ,<-,21년
,"7,876 ",444 ,16 ,242 ,<-,22년
서울반도체,"11,942 ",949 ,626 ,"1,036 ",<-,18년
,"11,299 ",495 ,358 ,"1,695 ",<-,19년
,"11,531 ",597 ,290 ,898 ,<-,20년
,"13,010 ",632 ,615 ,984 ,<-,21년
,"11,094 ",-334 ,-543 ,"1,557 ",<-,22년
피에스케이,,,,,<-,18년
,"1,546 ",169 ,150 ,177 ,<-,19년
,"2,657 ",316 ,223 ,224 ,<-,20년
,"4,458 ",941 ,767 ,"1,146 ",<-,21년
,"4,609 ",918 ,774 ,463 ,<-,22년
레이크머티리얼즈,353 ,36 ,22 ,23 ,<-,18년
,349 ,26 ,18 ,-2 ,<-,19년
,465 ,47 ,20 ,46 ,<-,20년
,819 ,207 ,181 ,187 ,<-,21년
,"1,315 ",354 ,272 ,170 ,<-,22년
에프에스티,"1,651 ",200 ,169 ,300 ,<-,18년
,"1,257 ",189 ,183 ,171 ,<-,19년
,"1,662 ",248 ,187 ,274 ,<-,20년
,"2,137 ",226 ,282 ,225 ,<-,21년
,"2,234 ",62 ,408 ,-16 ,<-,22년
네패스,"2,733 ",220 ,229 ,417 ,<-,18년
,"3,563 ",616 ,311 ,899 ,<-,19년
,"3,436 ",-36 ,-627 ,463 ,<-,20년
,"4,184 ",-164 ,-292 ,759 ,<-,21년
,"5,880 ",-67 ,945 ,976 ,<-,22년
이엠텍,"2,860 ",212 ,237 ,229 ,<-,18년
,"2,682 ",-56 ,-4 ,208 ,<-,19년
,"2,829 ",21 ,6 ,134 ,<-,20년
,"4,002 ",371 ,341 ,503 ,<-,21년
,"4,158 ",339 ,329 ,297 ,<-,22년
티에스이,"1,844 ",148 ,128 ,281 ,<-,18년
,"1,915 ",207 ,160 ,102 ,<-,19년
,"2,855 ",427 ,294 ,600 ,<-,20년
,"3,077 ",546 ,432 ,462 ,<-,21년
,"3,393 ",566 ,534 ,548 ,<-,22년
상아프론테크,"1,821 ",141 ,121 ,75 ,<-,18년
,"1,862 ",149 ,125 ,35 ,<-,19년
,"1,533 ",74 ,23 ,125 ,<-,20년
,"1,785 ",120 ,93 ,209 ,<-,21년
,"1,812 ",129 ,74 ,156 ,<-,22년
바텍,"2,344 ",394 ,292 ,332 ,<-,18년
,"2,717 ",429 ,356 ,407 ,<-,19년
,"2,443 ",316 ,-218 ,511 ,<-,20년
,"3,390 ",655 ,554 ,441 ,<-,21년
,"3,951 ",796 ,786 ,333 ,<-,22년
파트론,"7,965 ",302 ,112 ,904 ,<-,18년
,"12,546 ","1,052 ",642 ,835 ,<-,19년
,"11,793 ",419 ,206 ,235 ,<-,20년
,"13,127 ",787 ,783 ,"1,641 ",<-,21년
,"12,219 ",568 ,429 ,675 ,<-,22년
코미코,"1,666 ",406 ,303 ,298 ,<-,18년
,"1,735 ",345 ,228 ,389 ,<-,19년
,"2,008 ",356 ,243 ,521 ,<-,20년
,"2,570 ",588 ,472 ,653 ,<-,21년
,"2,884 ",554 ,420 ,787 ,<-,22년
엠아이텍,296 ,51 ,4 ,20 ,<-,18년
,327 ,34 ,37 ,31 ,<-,19년
,402 ,65 ,67 ,39 ,<-,20년
,503 ,132 ,122 ,165 ,<-,21년
,607 ,203 ,191 ,86 ,<-,22년
인터로조,794 ,171 ,146 ,92 ,<-,18년
,926 ,226 ,176 ,235 ,<-,19년
,882 ,151 ,115 ,170 ,<-,20년
,"1,168 ",282 ,190 ,138 ,<-,21년
,"1,269 ",311 ,242 ,120 ,<-,22년
태광,"1,586 ",40 ,100 ,56 ,<-,18년
,"1,898 ",29 ,74 ,-304 ,<-,19년
,"1,884 ",-31 ,-50 ,481 ,<-,20년
,"1,851 ",135 ,185 ,413 ,<-,21년
,"2,497 ",454 ,368 ,463 ,<-,22년
KH바텍,"1,659 ",-68 ,-391 ,-129 ,<-,18년
,"2,036 ",70 ,-116 ,109 ,<-,19년
,"1,850 ",35 ,-138 ,100 ,<-,20년
